date,BRL,CLP,COP,MXN
2013-04-16,-0.7966034279796164,-1.2610890848510194,-0.9316628664515316,-1.0587122674829517
2013-04-17,-0.7851660797587785,-1.2224371991845093,-0.9332999178281157,-1.037338258545371
2013-04-18,-0.7619014737186655,-1.2079739129351048,-0.9100835528511029,-1.0143497924466596
2013-04-19,-0.7702195451520022,-1.1999941687975029,-0.9090417928841857,-1.0176839974533431
2013-04-22,-0.7580023777342888,-1.1962536637330017,-0.930342063636333,-1.0132617887076365
2013-04-23,-0.7534534324191831,-1.2012410038190027,-0.9199802725368165,-1.0244576981511313
2013-04-24,-0.770089575285856,-1.2254296032361094,-0.9257657609245179,-1.0501486251499965
2013-04-25,-0.7797073453806515,-1.258595414808019,-0.9280725151369775,-1.0505346909928759
2013-04-26,-0.7852960496249244,-1.248620734636016,-0.9391412147854733,-1.0600108525908178
2013-04-29,-0.7746385206009623,-1.26283465388112,-0.9338207978115742,-1.0370223864921064
2013-04-30,-0.7826966523020067,-1.2660764249370213,-0.9429548003786523,-1.0630291855442362
2013-05-01,-0.7824367125697149,-1.2660764249370213,-0.9484612459180721,-1.0410936262897406
2013-05-02,-0.772688972608774,-1.2541068087306175,-0.9484612459180721,-1.0496221717278886
2013-05-03,-0.772299063010336,-1.2840308492466264,-0.9289096436818218,-1.0847892603246962
2013-05-06,-0.771649213679607,-1.2810384451950254,-0.9297653750832178,-1.0723298626681426
2013-05-07,-0.7760681891285666,-1.278544775152025,-0.9380622491054516,-1.1003371847242827
2013-05-08,-0.7791874659160679,-1.2665751589456211,-0.9460428745662997,-1.1190438296565166
2013-05-09,-0.7676201478290842,-1.2523612397005173,-0.9394016547772023,-1.1109013500612475
2013-05-10,-0.7569626188051218,-1.237897953451113,-0.9349927777743563,-1.0808935050010975
2013-05-13,-0.7735987616717948,-1.2054802428921043,-0.9317186750211879,-1.0525352139968858
2013-05-14,-0.7591721065296019,-1.1812916434749976,-0.9317186750211879,-1.0416551766066557
2013-05-15,-0.7528035830884534,-1.1850321485394988,-0.924649589531392,-1.039689750497453
2013-05-16,-0.7508540350962657,-1.1600954481094918,-0.9151249269767203,-1.0131214011284082
2013-05-17,-0.7379870183478233,-1.148125831903088,-0.9242961352569026,-0.9889396406062518
2013-05-20,-0.7329181935681335,-1.1007461010860748,-0.9195896125492229,-1.0060318283773548
2013-05-21,-0.7336980127650088,-1.1007461010860748,-0.9172828583367633,-0.992554620771393
2013-05-22,-0.7201811466858372,-1.0546132052905621,-0.9095254671545401,-0.9624063881320141
2013-05-23,-0.7265496701269851,-1.0745625656345679,-0.9024749845212967,-0.96970654225191
2013-05-24,-0.7177117192290655,-1.04588536014006,-0.8774169367456266,-0.9222906373673925
2013-05-27,-0.7117331053863549,-1.0354119459594573,-0.8586652573411164,-0.9456300724141756
